"fecha";"std";"Prof";"sitio";"Lectura_std"
"2017-12-21";"672";"p20cm";"S1";0,734
"2017-12-21";"672";"p40cm";"S1";0,866
"2017-12-21";"672";"p60cm";"S1";0,685
"2017-12-21";"672";"p80cm";"S1";0,6
"2017-12-21";"672";"p100cm";"S1";0,554
"2017-12-27";"724";"p20cm";"S1";0,628
"2017-12-27";"724";"p40cm";"S1";0,79
"2017-12-27";"724";"p60cm";"S1";0,583
"2017-12-27";"724";"p80cm";"S1";0,547
"2017-12-27";"724";"p100cm";"S1";0,5
"2018-01-03";"773";"p20cm";"S1";0,479
"2018-01-03";"773";"p40cm";"S1";0,736
"2018-01-03";"773";"p60cm";"S1";0,459
"2018-01-03";"773";"p80cm";"S1";0,411
"2018-01-03";"773";"p100cm";"S1";0,427
"2018-01-10";"734";"p20cm";"S1";0,507
"2018-01-10";"734";"p40cm";"S1";0,734
"2018-01-10";"734";"p60cm";"S1";0,484
"2018-01-10";"734";"p80cm";"S1";0,392
"2018-01-10";"734";"p100cm";"S1";0,405
"2018-01-17";"748";"p20cm";"S1";0,576
"2018-01-17";"748";"p40cm";"S1";0,687
"2018-01-17";"748";"p60cm";"S1";0,488
"2018-01-17";"748";"p80cm";"S1";0,396
"2018-01-17";"748";"p100cm";"S1";0,398
"2018-01-24";"742";"p20cm";"S1";0,469
"2018-01-24";"742";"p40cm";"S1";0,705
"2018-01-24";"742";"p60cm";"S1";0,482
"2018-01-24";"742";"p80cm";"S1";0,384
"2018-01-24";"742";"p100cm";"S1";0,371
"2018-01-31";"729";"p20cm";"S1";0,565
"2018-01-31";"729";"p40cm";"S1";0,715
"2018-01-31";"729";"p60cm";"S1";0,499
"2018-01-31";"729";"p80cm";"S1";0,385
"2018-01-31";"729";"p100cm";"S1";0,37
"2018-02-07";"736";"p20cm";"S1";0,515
"2018-02-07";"736";"p40cm";"S1";0,689
"2018-02-07";"736";"p60cm";"S1";0,49
"2018-02-07";"736";"p80cm";"S1";0,386
"2018-02-07";"736";"p100cm";"S1";0,349
"2018-02-14";"726";"p20cm";"S1";0,64
"2018-02-14";"726";"p40cm";"S1";0,737
"2018-02-14";"726";"p60cm";"S1";0,481
"2018-02-14";"726";"p80cm";"S1";0,393
"2018-02-14";"726";"p100cm";"S1";0,379
"2018-02-21";"753";"p20cm";"S1";0,655
"2018-02-21";"753";"p40cm";"S1";0,71
"2018-02-21";"753";"p60cm";"S1";0,462
"2018-02-21";"753";"p80cm";"S1";0,376
"2018-02-21";"753";"p100cm";"S1";0,343
"2018-02-27";"730";"p20cm";"S1";0,619
"2018-02-27";"730";"p40cm";"S1";0,695
"2018-02-27";"730";"p60cm";"S1";0,488
"2018-02-27";"730";"p80cm";"S1";0,395
"2018-02-27";"730";"p100cm";"S1";0,362
"2018-03-07";"733";"p20cm";"S1";0,614
"2018-03-07";"733";"p40cm";"S1";0,683
"2018-03-07";"733";"p60cm";"S1";0,492
"2018-03-07";"733";"p80cm";"S1";0,381
"2018-03-07";"733";"p100cm";"S1";0,349
"2018-03-14";"735";"p20cm";"S1";0,612
"2018-03-14";"735";"p40cm";"S1";0,727
"2018-03-14";"735";"p60cm";"S1";0,48
"2018-03-14";"735";"p80cm";"S1";0,386
"2018-03-14";"735";"p100cm";"S1";0,355
"2018-03-21";"725";"p20cm";"S1";0,775
"2018-03-21";"725";"p40cm";"S1";0,807
"2018-03-21";"725";"p60cm";"S1";0,49
"2018-03-21";"725";"p80cm";"S1";0,375
"2018-03-21";"725";"p100cm";"S1";0,36
"2018-03-28";"734";"p20cm";"S1";0,713
"2018-03-28";"734";"p40cm";"S1";0,753
"2018-03-28";"734";"p60cm";"S1";0,48
"2018-03-28";"734";"p80cm";"S1";0,368
"2018-03-28";"734";"p100cm";"S1";0,369
"2018-04-04";"749";"p20cm";"S1";0,669
"2018-04-04";"749";"p40cm";"S1";0,734
"2018-04-04";"749";"p60cm";"S1";0,465
"2018-04-04";"749";"p80cm";"S1";0,358
"2018-04-04";"749";"p100cm";"S1";0,34
"2018-04-13";"748";"p20cm";"S1";0,836
"2018-04-13";"748";"p40cm";"S1";0,897
"2018-04-13";"748";"p60cm";"S1";0,67
"2018-04-13";"748";"p80cm";"S1";0,468
"2018-04-13";"748";"p100cm";"S1";0,35
"2018-04-20";"747";"p20cm";"S1";0,841
"2018-04-20";"747";"p40cm";"S1";0,885
"2018-04-20";"747";"p60cm";"S1";0,632
"2018-04-20";"747";"p80cm";"S1";0,49
"2018-04-20";"747";"p100cm";"S1";0,356
"2018-05-02";"744";"p20cm";"S1";0,843
"2018-05-02";"744";"p40cm";"S1";0,891
"2018-05-02";"744";"p60cm";"S1";0,628
"2018-05-02";"744";"p80cm";"S1";0,505
"2018-05-02";"744";"p100cm";"S1";0,383
"2018-05-09";"747";"p20cm";"S1";0,842
"2018-05-09";"747";"p40cm";"S1";0,861
"2018-05-09";"747";"p60cm";"S1";0,648
"2018-05-09";"747";"p80cm";"S1";0,515
"2018-05-09";"747";"p100cm";"S1";0,383
"2017-12-21";"672";"p20cm";"S2";0,661
"2017-12-21";"672";"p40cm";"S2";0,946
"2017-12-21";"672";"p60cm";"S2";0,821
"2017-12-21";"672";"p80cm";"S2";0,68
"2017-12-21";"672";"p100cm";"S2";0,659
"2017-12-27";"724";"p20cm";"S2";0,517
"2017-12-27";"724";"p40cm";"S2";0,816
"2017-12-27";"724";"p60cm";"S2";0,727
"2017-12-27";"724";"p80cm";"S2";0,622
"2017-12-27";"724";"p100cm";"S2";0,635
"2018-01-03";"773";"p20cm";"S2";0,605
"2018-01-03";"773";"p40cm";"S2";0,59
"2018-01-03";"773";"p60cm";"S2";0,595
"2018-01-03";"773";"p80cm";"S2";0,617
"2018-01-03";"773";"p100cm";"S2";0,476
"2018-01-10";"734";"p20cm";"S2";0,643
"2018-01-10";"734";"p40cm";"S2";0,62
"2018-01-10";"734";"p60cm";"S2";0,473
"2018-01-10";"734";"p80cm";"S2";0,459
"2018-01-10";"734";"p100cm";"S2";0,507
"2018-01-17";"748";"p20cm";"S2";0,717
"2018-01-17";"748";"p40cm";"S2";0,652
"2018-01-17";"748";"p60cm";"S2";0,48
"2018-01-17";"748";"p80cm";"S2";0,467
"2018-01-17";"748";"p100cm";"S2";0,492
"2018-01-24";"742";"p20cm";"S2";0,639
"2018-01-24";"742";"p40cm";"S2";0,612
"2018-01-24";"742";"p60cm";"S2";0,442
"2018-01-24";"742";"p80cm";"S2";0,416
"2018-01-24";"742";"p100cm";"S2";0,454
"2018-01-31";"729";"p20cm";"S2";0,657
"2018-01-31";"729";"p40cm";"S2";0,62
"2018-01-31";"729";"p60cm";"S2";0,461
"2018-01-31";"729";"p80cm";"S2";0,414
"2018-01-31";"729";"p100cm";"S2";0,429
"2018-02-07";"736";"p20cm";"S2";0,624
"2018-02-07";"736";"p40cm";"S2";0,564
"2018-02-07";"736";"p60cm";"S2";0,427
"2018-02-07";"736";"p80cm";"S2";0,399
"2018-02-07";"736";"p100cm";"S2";0,42
"2018-02-14";"726";"p20cm";"S2";0,756
"2018-02-14";"726";"p40cm";"S2";0,649
"2018-02-14";"726";"p60cm";"S2";0,472
"2018-02-14";"726";"p80cm";"S2";0,379
"2018-02-14";"726";"p100cm";"S2";0,42
"2018-02-21";"753";"p20cm";"S2";0,657
"2018-02-21";"753";"p40cm";"S2";0,592
"2018-02-21";"753";"p60cm";"S2";0,425
"2018-02-21";"753";"p80cm";"S2";0,402
"2018-02-21";"753";"p100cm";"S2";0,39
"2018-02-27";"730";"p20cm";"S2";0,641
"2018-02-27";"730";"p40cm";"S2";0,589
"2018-02-27";"730";"p60cm";"S2";0,437
"2018-02-27";"730";"p80cm";"S2";0,377
"2018-02-27";"730";"p100cm";"S2";0,386
"2018-03-07";"733";"p20cm";"S2";0,671
"2018-03-07";"733";"p40cm";"S2";0,598
"2018-03-07";"733";"p60cm";"S2";0,442
"2018-03-07";"733";"p80cm";"S2";0,385
"2018-03-07";"733";"p100cm";"S2";0,385
"2018-03-14";"735";"p20cm";"S2";0,683
"2018-03-14";"735";"p40cm";"S2";0,604
"2018-03-14";"735";"p60cm";"S2";0,441
"2018-03-14";"735";"p80cm";"S2";0,393
"2018-03-14";"735";"p100cm";"S2";0,395
"2018-03-21";"725";"p20cm";"S2";0,91
"2018-03-21";"725";"p40cm";"S2";0,738
"2018-03-21";"725";"p60cm";"S2";0,462
"2018-03-21";"725";"p80cm";"S2";0,404
"2018-03-21";"725";"p100cm";"S2";0,419
"2018-03-28";"734";"p20cm";"S2";0,823
"2018-03-28";"734";"p40cm";"S2";0,725
"2018-03-28";"734";"p60cm";"S2";0,456
"2018-03-28";"734";"p80cm";"S2";0,401
"2018-03-28";"734";"p100cm";"S2";0,406
"2018-04-04";"749";"p20cm";"S2";0,801
"2018-04-04";"749";"p40cm";"S2";0,677
"2018-04-04";"749";"p60cm";"S2";0,434
"2018-04-04";"749";"p80cm";"S2";0,394
"2018-04-04";"749";"p100cm";"S2";0,421
"2018-04-13";"748";"p20cm";"S2";0,952
"2018-04-13";"748";"p40cm";"S2";0,858
"2018-04-13";"748";"p60cm";"S2";0,646
"2018-04-13";"748";"p80cm";"S2";0,464
"2018-04-13";"748";"p100cm";"S2";0,418
"2018-04-20";"747";"p20cm";"S2";0,936
"2018-04-20";"747";"p40cm";"S2";0,818
"2018-04-20";"747";"p60cm";"S2";0,59
"2018-04-20";"747";"p80cm";"S2";0,493
"2018-04-20";"747";"p100cm";"S2";0,434
"2018-05-02";"744";"p20cm";"S2";0,956
"2018-05-02";"744";"p40cm";"S2";0,855
"2018-05-02";"744";"p60cm";"S2";0,601
"2018-05-02";"744";"p80cm";"S2";0,492
"2018-05-02";"744";"p100cm";"S2";0,45
"2018-05-09";"747";"p20cm";"S2";0,929
"2018-05-09";"747";"p40cm";"S2";0,833
"2018-05-09";"747";"p60cm";"S2";0,613
"2018-05-09";"747";"p80cm";"S2";0,513
"2018-05-09";"747";"p100cm";"S2";0,454
"2017-12-21";"672";"p20cm";"S3";0,908
"2017-12-21";"672";"p40cm";"S3";0,624
"2017-12-21";"672";"p60cm";"S3";0,612
"2017-12-21";"672";"p80cm";"S3";0,658
"2017-12-21";"672";"p100cm";"S3";0,628
"2017-12-27";"724";"p20cm";"S3";0,761
"2017-12-27";"724";"p40cm";"S3";0,651
"2017-12-27";"724";"p60cm";"S3";0,518
"2017-12-27";"724";"p80cm";"S3";0,583
"2017-12-27";"724";"p100cm";"S3";0,62
"2018-01-03";"773";"p20cm";"S3";0,541
"2018-01-03";"773";"p40cm";"S3";0,55
"2018-01-03";"773";"p60cm";"S3";0,397
"2018-01-03";"773";"p80cm";"S3";0,451
"2018-01-03";"773";"p100cm";"S3";0,545
"2018-01-10";"734";"p20cm";"S3";0,576
"2018-01-10";"734";"p40cm";"S3";0,567
"2018-01-10";"734";"p60cm";"S3";0,388
"2018-01-10";"734";"p80cm";"S3";0,432
"2018-01-10";"734";"p100cm";"S3";0,523
"2018-01-17";"748";"p20cm";"S3";0,689
"2018-01-17";"748";"p40cm";"S3";0,59
"2018-01-17";"748";"p60cm";"S3";0,384
"2018-01-17";"748";"p80cm";"S3";0,416
"2018-01-17";"748";"p100cm";"S3";0,488
"2018-01-24";"742";"p20cm";"S3";0,608
"2018-01-24";"742";"p40cm";"S3";0,569
"2018-01-24";"742";"p60cm";"S3";0,377
"2018-01-24";"742";"p80cm";"S3";0,394
"2018-01-24";"742";"p100cm";"S3";0,446
"2018-01-31";"729";"p20cm";"S3";0,602
"2018-01-31";"729";"p40cm";"S3";0,557
"2018-01-31";"729";"p60cm";"S3";0,374
"2018-01-31";"729";"p80cm";"S3";0,387
"2018-01-31";"729";"p100cm";"S3";0,418
"2018-02-07";"736";"p20cm";"S3";0,563
"2018-02-07";"736";"p40cm";"S3";0,56
"2018-02-07";"736";"p60cm";"S3";0,39
"2018-02-07";"736";"p80cm";"S3";0,39
"2018-02-07";"736";"p100cm";"S3";0,417
"2018-02-14";"726";"p20cm";"S3";0,77
"2018-02-14";"726";"p40cm";"S3";0,613
"2018-02-14";"726";"p60cm";"S3";0,387
"2018-02-14";"726";"p80cm";"S3";0,405
"2018-02-14";"726";"p100cm";"S3";0,417
"2018-02-21";"753";"p20cm";"S3";0,64
"2018-02-21";"753";"p40cm";"S3";0,57
"2018-02-21";"753";"p60cm";"S3";0,38
"2018-02-21";"753";"p80cm";"S3";0,39
"2018-02-21";"753";"p100cm";"S3";0,377
"2018-02-27";"730";"p20cm";"S3";0,634
"2018-02-27";"730";"p40cm";"S3";0,592
"2018-02-27";"730";"p60cm";"S3";0,374
"2018-02-27";"730";"p80cm";"S3";0,367
"2018-02-27";"730";"p100cm";"S3";0,381
"2018-03-07";"733";"p20cm";"S3";0,67
"2018-03-07";"733";"p40cm";"S3";0,572
"2018-03-07";"733";"p60cm";"S3";0,387
"2018-03-07";"733";"p80cm";"S3";0,401
"2018-03-07";"733";"p100cm";"S3";0,396
"2018-03-14";"735";"p20cm";"S3";0,659
"2018-03-14";"735";"p40cm";"S3";0,578
"2018-03-14";"735";"p60cm";"S3";0,37
"2018-03-14";"735";"p80cm";"S3";0,377
"2018-03-14";"735";"p100cm";"S3";0,388
"2018-03-21";"725";"p20cm";"S3";0,812
"2018-03-21";"725";"p40cm";"S3";0,589
"2018-03-21";"725";"p60cm";"S3";0,374
"2018-03-21";"725";"p80cm";"S3";0,408
"2018-03-21";"725";"p100cm";"S3";0,418
"2018-03-28";"734";"p20cm";"S3";0,775
"2018-03-28";"734";"p40cm";"S3";0,557
"2018-03-28";"734";"p60cm";"S3";0,356
"2018-03-28";"734";"p80cm";"S3";0,391
"2018-03-28";"734";"p100cm";"S3";0,432
"2018-04-04";"749";"p20cm";"S3";0,744
"2018-04-04";"749";"p40cm";"S3";0,55
"2018-04-04";"749";"p60cm";"S3";0,366
"2018-04-04";"749";"p80cm";"S3";0,371
"2018-04-04";"749";"p100cm";"S3";0,41
"2018-04-13";"748";"p20cm";"S3";0,898
"2018-04-13";"748";"p40cm";"S3";0,781
"2018-04-13";"748";"p60cm";"S3";0,552
"2018-04-13";"748";"p80cm";"S3";0,43
"2018-04-13";"748";"p100cm";"S3";0,417
"2018-04-20";"747";"p20cm";"S3";0,897
"2018-04-20";"747";"p40cm";"S3";0,778
"2018-04-20";"747";"p60cm";"S3";0,537
"2018-04-20";"747";"p80cm";"S3";0,481
"2018-04-20";"747";"p100cm";"S3";0,426
"2018-05-02";"744";"p20cm";"S3";0,911
"2018-05-02";"744";"p40cm";"S3";0,808
"2018-05-02";"744";"p60cm";"S3";0,54
"2018-05-02";"744";"p80cm";"S3";0,524
"2018-05-02";"744";"p100cm";"S3";0,461
"2018-05-09";"747";"p20cm";"S3";0,901
"2018-05-09";"747";"p40cm";"S3";0,747
"2018-05-09";"747";"p60cm";"S3";0,538
"2018-05-09";"747";"p80cm";"S3";0,526
"2018-05-09";"747";"p100cm";"S3";0,459
"2017-12-21";"672";"p20cm";"S4";0,414
"2017-12-21";"672";"p40cm";"S4";1,124
"2017-12-21";"672";"p60cm";"S4";1,073
"2017-12-21";"672";"p80cm";"S4";0,847
"2017-12-21";"672";"p100cm";"S4";0,762
"2017-12-27";"724";"p20cm";"S4";0,297
"2017-12-27";"724";"p40cm";"S4";1,003
"2017-12-27";"724";"p60cm";"S4";1,012
"2017-12-27";"724";"p80cm";"S4";0,76
"2017-12-27";"724";"p100cm";"S4";0,702
"2018-01-03";"773";"p20cm";"S4";0,342
"2018-01-03";"773";"p40cm";"S4";0,871
"2018-01-03";"773";"p60cm";"S4";0,745
"2018-01-03";"773";"p80cm";"S4";0,574
"2018-01-03";"773";"p100cm";"S4";0,664
"2018-01-10";"734";"p20cm";"S4";0,365
"2018-01-10";"734";"p40cm";"S4";0,936
"2018-01-10";"734";"p60cm";"S4";0,772
"2018-01-10";"734";"p80cm";"S4";0,559
"2018-01-10";"734";"p100cm";"S4";0,621
"2018-01-17";"748";"p20cm";"S4";0,651
"2018-01-17";"748";"p40cm";"S4";1,031
"2018-01-17";"748";"p60cm";"S4";0,798
"2018-01-17";"748";"p80cm";"S4";0,571
"2018-01-17";"748";"p100cm";"S4";0,626
"2018-01-24";"742";"p20cm";"S4";0,512
"2018-01-24";"742";"p40cm";"S4";0,96
"2018-01-24";"742";"p60cm";"S4";0,806
"2018-01-24";"742";"p80cm";"S4";0,54
"2018-01-24";"742";"p100cm";"S4";0,585
"2018-01-31";"729";"p20cm";"S4";0,645
"2018-01-31";"729";"p40cm";"S4";0,957
"2018-01-31";"729";"p60cm";"S4";0,782
"2018-01-31";"729";"p80cm";"S4";0,55
"2018-01-31";"729";"p100cm";"S4";0,535
"2018-02-07";"736";"p20cm";"S4";0,439
"2018-02-07";"736";"p40cm";"S4";0,89
"2018-02-07";"736";"p60cm";"S4";0,751
"2018-02-07";"736";"p80cm";"S4";0,474
"2018-02-07";"736";"p100cm";"S4";0,515
"2018-02-14";"726";"p20cm";"S4";0,711
"2018-02-14";"726";"p40cm";"S4";1,051
"2018-02-14";"726";"p60cm";"S4";0,853
"2018-02-14";"726";"p80cm";"S4";0,596
"2018-02-14";"726";"p100cm";"S4";0,605
"2018-02-21";"753";"p20cm";"S4";0,602
"2018-02-21";"753";"p40cm";"S4";0,991
"2018-02-21";"753";"p60cm";"S4";0,769
"2018-02-21";"753";"p80cm";"S4";0,521
"2018-02-21";"753";"p100cm";"S4";0,562
"2018-02-27";"730";"p20cm";"S4";0,514
"2018-02-27";"730";"p40cm";"S4";0,932
"2018-02-27";"730";"p60cm";"S4";0,782
"2018-02-27";"730";"p80cm";"S4";0,512
"2018-02-27";"730";"p100cm";"S4";0,5
"2018-03-07";"733";"p20cm";"S4";0,551
"2018-03-07";"733";"p40cm";"S4";0,941
"2018-03-07";"733";"p60cm";"S4";0,764
"2018-03-07";"733";"p80cm";"S4";0,498
"2018-03-07";"733";"p100cm";"S4";0,568
"2018-03-14";"735";"p20cm";"S4";0,63
"2018-03-14";"735";"p40cm";"S4";0,922
"2018-03-14";"735";"p60cm";"S4";0,746
"2018-03-14";"735";"p80cm";"S4";0,468
"2018-03-14";"735";"p100cm";"S4";0,537
"2018-03-21";"725";"p20cm";"S4";0,792
"2018-03-21";"725";"p40cm";"S4";1,068
"2018-03-21";"725";"p60cm";"S4";0,785
"2018-03-21";"725";"p80cm";"S4";0,497
"2018-03-21";"725";"p100cm";"S4";0,606
"2018-03-28";"734";"p20cm";"S4";0,748
"2018-03-28";"734";"p40cm";"S4";1,004
"2018-03-28";"734";"p60cm";"S4";0,77
"2018-03-28";"734";"p80cm";"S4";0,503
"2018-03-28";"734";"p100cm";"S4";0,567
"2018-04-04";"749";"p20cm";"S4";0,696
"2018-04-04";"749";"p40cm";"S4";1,016
"2018-04-04";"749";"p60cm";"S4";0,721
"2018-04-04";"749";"p80cm";"S4";0,461
"2018-04-04";"749";"p100cm";"S4";0,615
"2018-04-13";"748";"p20cm";"S4";0,88
"2018-04-13";"748";"p40cm";"S4";1,076
"2018-04-13";"748";"p60cm";"S4";0,976
"2018-04-13";"748";"p80cm";"S4";0,751
"2018-04-13";"748";"p100cm";"S4";0,682
"2018-04-20";"747";"p20cm";"S4";0,859
"2018-04-20";"747";"p40cm";"S4";1,114
"2018-04-20";"747";"p60cm";"S4";0,944
"2018-04-20";"747";"p80cm";"S4";0,696
"2018-04-20";"747";"p100cm";"S4";0,57
"2018-05-02";"744";"p20cm";"S4";0,86
"2018-05-02";"744";"p40cm";"S4";1,113
"2018-05-02";"744";"p60cm";"S4";0,95
"2018-05-02";"744";"p80cm";"S4";0,719
"2018-05-02";"744";"p100cm";"S4";0,673
